序号
股票
行业分类
买入日期
卖出日期
买入价格前复权,
卖出价格前复权,
涨幅

流通盘	流通市值	总市值	股本	中性换手	收益	PE（动）	解禁	营业收入同比	利润同比	资产负债	当日振幅	成交额	股东户数	每股净资产	毛利率	当日涨幅	20日涨幅	60日涨幅	业绩预报	ROE（加权净资产收益率）	资本公基金	RSI（14）	乖离率20	乖离率（6）	涨停板	1、5日缩量	5/20日	5/60日缩量	减持	股权质押占总股本	


小市值10股.V8

7,返利科技,600228,传媒,互联网传媒,2021-11-24,2022-02-10,6.98,8.64,2,3.78%
8,通用电梯,300931,机械设备,专用设备,2022-01-25,2022-02-08,9.80,9.99,1.94%
9,园林股份,605303,建筑装饰,园林工程,2022-01-26,2022-01-27,14.07,13.74,-2.35%
10,盈,建,科,300935,计算机,计算机应用,2022-01-25,2022-01-26,50.14,49.59,-1.10%

--------------------------------------------------------------------------------------


次新6股.J
1,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.501,7.61%
2,保立佳,301037,化工,化学原料,2022-02-15,2022-02-23,23.33,24.90,6.73%
3,盛泰集团,605138,纺织服装,服装家纺,2022-02-10,2022-02-21,11.58,12.17,5.09%
4,上海艾录,301062,轻工制造,包装印刷,2022-01-27,2022-02-16,14.85,14.98,0.88%
5,金三江,301059,化工,化学制品,2021-12-21,2022-02-16,22.18,19.56,-11.81%
6,运机集团,001288,机械设备,专用设备,2022-02-09,2022-02-15,16.54,16.73,1.15%
7,汇隆新材,301057,化工,化学纤维,2021-12-03,2022-02-11,21.04,18.93,-10.03%
8,新柴股份,301032,机械设备,通用机械,2022-02-09,2022-02-10,11.78,11.87,0.76%
9,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-09,11.36,11.68,2.82%
10,森赫股份,301056,机械设备,专用设备,2022-01-19,2022-02-09,11.44,10.58,-7.52%

次新4-3的CD6股
1,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.501,7.61%
2,保立佳,301037,化工,化学原料,2022-02-16,2022-02-23,23.84,24.90,4.45%
3,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-21,11.36,12.17,7.13%
4,金三江,301059,化工,化学制品,2021-12-21,2022-02-16,22.18,19.56,-11.81%
5,富佳股份,603219,家用电器,白色家电,2022-02-10,2022-02-16,17.22,18.00,4.53%
6,汇隆新材,301057,化工,化学纤维,2021-11-23,2022-02-11,20.82,18.93,-9.08%
7,新柴股份,301032,机械设备,通用机械,2022-02-09,2022-02-10,11.78,11.87,0.76%
8,森赫股份,301056,机械设备,专用设备,2022-01-26,2022-02-09,10.28,10.58,2.92%
9,新柴股份,301032,机械设备,通用机械,2022-01-28,2022-02-07,11.10,11.27,1.53%
10,恒盛能源,605580,公用事业,电力,2022-01-17,2022-01-28,15.66,13.82,-11.75%
