序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
7,汇隆新材,301057,化工,化学纤维,2022-03-15,2022-03-16,17.49,17.84,2.00%
8,美邦股份,605033,化工,化学制品,2022-03-09,2022-03-15,16.78,18.91,12.69%
9,青岛食品,001219,食品饮料,食品加工,2022-03-07,2022-03-11,26.36,25.92,-1.67%
1,果麦文化,301052,传媒,文化传媒,2022-03-04,2022-03-10,28.82,27.40,-4.93%
2,盛泰集团,605138,纺织服装,服装家纺,2022-03-03,2022-03-09,12.26,10.97,-10.52%
3,运机集团,001288,机械设备,专用设备,2022-01-05,2022-03-07,17.58,18.16,3.30%
4,炬申股份,001202,交通运输,物流,2022-03-02,2022-03-04,17.15,20.48,19.42%
5,青岛食品,001219,食品饮料,食品加工,2022-02-16,2022-03-03,26.35,26.08,-1.02%
6,咸亨国际,605056,机械设备,仪器仪表,2022-02-25,2022-03-02,15.99,16.00,0.06%
7,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.50,17.61%
8,保立佳,301037,化工,化学原料,2022-02-16,2022-02-23,23.84,24.90,4.45%
9,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-21,11.36,12.17,7.13%
10,富佳股份,603219,家用电器,白色家电,2022-02-10,2022-02-16,17.22,18.00,4.53%
1,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.50,17.61%
2,保立佳,301037,化工,化学原料,2022-02-16,2022-02-23,23.84,24.90,4.45%
3,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-21,11.36,12.17,7.13%
4,金三江,301059,化工,化学制品,2021-12-21,2022-02-16,22.18,19.56,-11.81%
5,富佳股份,603219,家用电器,白色家电,2022-02-10,2022-02-16,17.22,18.00,4.53%
6,汇隆新材,301057,化工,化学纤维,2021-11-23,2022-02-11,20.82,18.93,-9.08%
7,新柴股份,301032,机械设备,通用机械,2022-02-09,2022-02-10,11.78,11.87,0.76%
8,森赫股份,301056,机械设备,专用设备,2022-01-26,2022-02-09,10.28,10.58,2.92%
9,新柴股份,301032,机械设备,通用机械,2022-01-28,2022-02-07,11.10,11.27,1.53%
10,恒盛能源,605580,公用事业,电力,2022-01-17,2022-01-28,15.66,13.82,-11.75%
1,果麦文化,301052,传媒,文化传媒,2022-03-04,2022-03-10,28.82,27.40,-4.93%
2,盛泰集团,605138,纺织服装,服装家纺,2022-03-03,2022-03-09,12.26,10.97,-10.52%
3,运机集团,001288,机械设备,专用设备,2022-01-05,2022-03-07,17.58,18.16,3.30%
4,炬申股份,001202,交通运输,物流,2022-03-02,2022-03-04,17.15,20.48,19.42%
5,青岛食品,001219,食品饮料,食品加工,2022-02-16,2022-03-03,26.35,26.08,-1.02%
6,咸亨国际,605056,机械设备,仪器仪表,2022-02-25,2022-03-02,15.99,16.00,0.06%
7,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.50,17.61%
8,保立佳,301037,化工,化学原料,2022-02-16,2022-02-23,23.84,24.90,4.45%
9,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-21,11.36,12.17,7.13%
10,富佳股份,603219,家用电器,白色家电,2022-02-10,2022-02-16,17.22,18.00,4.53%
1,运机集团,001288,机械设备,专用设备,2022-01-05,2022-03-07,17.58,18.16,3.30%
2,炬申股份,001202,交通运输,物流,2022-03-02,2022-03-04,17.15,20.48,19.42%
3,青岛食品,001219,食品饮料,食品加工,2022-02-16,2022-03-03,26.35,26.08,-1.02%
4,咸亨国际,605056,机械设备,仪器仪表,2022-02-25,2022-03-02,15.99,16.00,0.06%
5,恒盛能源,605580,公用事业,电力,2022-02-11,2022-02-25,14.03,16.50,17.61%
6,保立佳,301037,化工,化学原料,2022-02-16,2022-02-23,23.84,24.90,4.45%
7,盛泰集团,605138,纺织服装,服装家纺,2022-02-07,2022-02-21,11.36,12.17,7.13%
8,富佳股份,603219,家用电器,白色家电,2022-02-10,2022-02-16,17.22,18.00,4.53%
9,金三江,301059,化工,化学制品,2021-12-21,2022-02-16,22.18,19.56,-11.81%
10,汇隆新材,301057,化工,化学纤维,2021-11-23,2022-02-11,20.82,18.93,-9.08%
